Table:CsvNewFunction,,,,,
tid,open_level,title:s,desc:s,icon_path:s,icon_type:b
#,开放等级,功能标题,功能描述,功能图标,图标类型，0：普通图标 1：文字图标
1,2,新功能开启,可以【召唤】新的英雄,CommanderUp/shengji_gongneng_3ji,0
2,4,新功能开启,使用经验书升级英雄等级,CommanderUp/shengji_gongneng_4ji,1
3,5,新功能开启,开启指挥官觉醒功能,CommanderUp/shengji_gongneng_5ji,1
4,6,新功能开启,开服七天乐活动,CommanderUp/shengji_gongneng_1ji,0
5,7,新功能开启,可以在神秘商店购买物品,CommanderUp/shengji_gongneng_7ji,0
6,8,新功能开启,战斗中可以开启2倍速度,CommanderUp/shengji_gongneng_6ji,0
7,9,新功能开启,可以上阵四位英雄,CommanderUp/shengji_gongneng_9ji,1
8,10,新功能开启,可以进行英雄的进阶与培养,CommanderUp/shengji_gongneng_10ji,1
9,11,新功能开启,可以在竞技场与其他玩家PK,CommanderUp/shengji_gongneng_11ji,0
10,12,新功能开启,开启日常任务系统,CommanderUp/shengji_gongneng_16ji,0
11,13,新功能开启,开启技能书抢夺与装备,CommanderUp/shengji_gongneng_13ji,0
12,15,新功能开启,可以进行英雄的第二次进阶,CommanderUp/shengji_gongneng_15ji,1
13,16,新功能开启,开启冒险扫荡功能,CommanderUp/shengji_gongneng_20ji,0
14,17,新功能开启,可以上阵五位英雄,CommanderUp/shengji_gongneng_17ji,1
15,18,新功能开启,开启占星功能,CommanderUp/shengji_gongneng_21ji,0
16,19,新功能开启,开启祭祀系统,CommanderUp/shengji_gongneng_19ji,0
17,21,新功能开启,可以在主城中向其他玩家赠送鲜花,CommanderUp/shengji_gongneng_18ji,0
18,22,新功能开启,开启富甲天下功能,CommanderUp/shengji_gongneng_22ji,0
19,23,新功能开启,开启铜币、战魂活动副本,CommanderUp/shengji_gongneng_23ji,0
20,24,新功能开启,开启好感系统,CommanderUp/shengji_gongneng_24ji,0
21,25,新功能开启,可以进行英雄的第三次进阶,CommanderUp/shengji_gongneng_25ji,1
22,26,新功能开启,可以抽取并镶嵌装备属性,CommanderUp/shengji_gongneng_26ji,0
23,27,新功能开启,可以上阵六位英雄,CommanderUp/shengji_gongneng_27ji,1
24,28,新功能开启,开启远征系统,CommanderUp/shengji_gongneng_28ji,0
25,29,新功能开启,开启军团系统,CommanderUp/shengji_gongneng_29ji,0
26,30,新功能开启,开启抢夺十次功能,CommanderUp/shengji_gongneng_30ji,0
27,31,新功能开启,开启好感、附魔活动副本,CommanderUp/shengji_gongneng_23ji,0
28,32,新功能开启,开启八芒星系统,CommanderUp/shengji_gongneng_32ji,0
29,33,新功能开启,开启战斗3倍速度,CommanderUp/shengji_gongneng_33ji,0
30,34,新功能开启,开启答题系统,CommanderUp/shengji_gongneng_34ji,1
31,35,新功能开启,可以进行英雄的第四次进阶,CommanderUp/shengji_gongneng_35ji,1
32,36,新功能开启,开启附魔系统,CommanderUp/shengji_gongneng_36ji,1
33,52,新功能开启,开启赛场系统,CommanderUp/shengji_gongneng_52ji,0
34,58,新功能开启,开启采集系统,CommanderUp/shengji_gongneng_58ji,0
35,61,新功能开启,开启精英副本,CommanderUp/shengji_gongneng_61ji,0
36,63,新功能开启,开启洗炼功能,CommanderUp/shengji_gongneng_63ji,0
37,66,新功能开启,开启无尽试炼,CommanderUp/shengji_gongneng_66ji,0
38,67,新功能开启,开启铭文系统,CommanderUp/shengji_gongneng_67ji,0
39,69,新功能开启,开启镜像挑战,CommanderUp/shengji_gongneng_69ji,0
